Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 100 --call-graph fp --app com.zamface
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 91720
Event count: 135865288130

Overhead  Command          Tid
0.00%     PfRxCachedThrea  23706
0.00%     p yt3.ggpht.com  15331
0.00%     PfRxCachedThrea  15654
0.00%     i.zamface.co.kr  23424
0.00%     PfRxCachedThrea  23731
0.00%     OkHttp TaskRunn  15345
0.00%     PfRxCachedThrea  23769
0.00%     PfRxCachedThrea  23724
0.00%     PfRxCachedThrea  23743
0.00%     PfRxCachedThrea  20729
0.00%     PfRxCachedThrea  23777
0.00%     PfRxCachedThrea  23725
0.00%     PfRxCachedThrea  15660
0.00%     firebase-instal  25975
0.00%     PfRxCachedThrea  23712
0.00%     PfRxCachedThrea  20741
0.00%     PfRxCachedWorke  15419
0.00%     udfront.net/...  26789
0.00%     PfRxCachedThrea  23664
0.00%     i.zamface.co.kr  23596
0.00%     PfRxCachedThrea  23696
0.00%     udfront.net/...  26788
0.00%     PfRxCachedThrea  23772
0.00%     Measurement Wor  23632
0.00%     PfRxCachedThrea  20736
0.00%     PfRxCachedThrea  20721
0.00%     PfRxCachedThrea  23705
0.00%     PfRxCachedThrea  15662
0.00%     PfRxCachedThrea  23742
0.00%     PfRxCachedThrea  20799
0.00%     PfRxCachedThrea  23717
0.00%     PfRxCachedThrea  23720
0.00%     hwuiTask0        15685
0.00%     PfRxCachedThrea  23747
0.00%     hwuiTask1        15686
0.00%     PfRxCachedThrea  20807
0.00%     .ggpht.com ping  15345
0.00%     PfRxCachedThrea  23711
0.00%     PfRxCachedThrea  15499
0.00%     PfRxCachedThrea  23691
0.00%     .ggpht.com ping  15340
0.00%     CookieMonsterCl  15326
0.00%     PfRxCachedThrea  20728
0.00%     Timer-0          15303
0.00%     PfRxCachedThrea  23710
0.00%     PfRxCachedThrea  20776
0.00%     PfRxCachedThrea  23716
0.00%     PfRxCachedThrea  23685
0.00%     OkHttp TaskRunn  23596
0.00%     PfRxCachedThrea  23678
0.00%     PfRxCachedThrea  23752
0.00%     PfRxCachedThrea  23689
0.00%     PfRxCachedThrea  23750
0.00%     PfRxCachedThrea  15493
0.00%     PfRxCachedThrea  23762
0.00%     PfRxCachedThrea  23718
0.00%     PfRxCachedThrea  23759
0.00%     PfRxCachedThrea  23699
0.00%     RequestFactoryE  23646
0.00%     PfRxCachedThrea  23756
0.00%     FinalizerWatchd  15214
0.00%     PfRxCachedThrea  20778
0.00%     PfRxCachedThrea  23764
0.00%     Okio Watchdog    15332
0.00%     PfRxCachedThrea  15589
0.00%     glide-active-re  15366
0.00%     RequestFactoryE  23651
0.00%     PfRxCachedThrea  23714
0.00%     PfRxCachedThrea  23681
0.00%     PfRxCachedThrea  23788
0.00%     RequestFactoryE  23645
0.00%     PfRxCachedThrea  23729
0.00%     PfRxCachedThrea  20777
0.00%     PfRxCachedThrea  15574
0.00%     PfRxCachedThrea  20811
0.00%     firebase-instal  23637
0.00%     RequestFactoryE  23642
0.00%     RequestFactoryE  23648
0.00%     PfRxCachedThrea  23673
0.00%     PfRxCachedThrea  23735
0.00%     PfRxCachedThrea  23787
0.00%     PfRxCachedThrea  20740
0.00%     Okio Watchdog    15319
0.00%     2.amplitude.com  23424
0.00%     PfRxCachedThrea  23665
0.00%     OkHttp Dispatch  26768
0.00%     PfRxCachedThrea  23780
0.00%     PfRxCachedThrea  23785
0.00%     PfRxCachedThrea  20802
0.00%     PfRxCachedThrea  23744
0.00%     RequestFactoryE  23647
0.00%     PfRxCachedThrea  23727
0.00%     PfRxCachedThrea  23680
0.00%     RequestFactoryE  23650
0.00%     PfRxCachedThrea  23781
0.00%     PfRxCachedThrea  23784
0.00%     glide-source-th  26768
0.00%     DefaultDispatch  15274
0.00%     PfRxCachedThrea  23675
0.00%     PfRxCachedThrea  23786
0.00%     PfRxCachedThrea  23741
0.00%     RequestFactoryE  23640
0.00%     PfRxCachedThrea  20743
0.00%     PfRxCachedThrea  23723
