Cmdline: /data/local/tmp/simpleperf record -o /data/local/tmp/perf.data -e instructions -f 1000 --duration 100 --call-graph fp --app com.zamface
Arch: arm64
Event: instructions (type 0, config 1)
Samples: 91720
Event count: 135865288130

Overhead  Command          Pid    Tid    Shared Object                                                                                                             Symbol
0.57%     HeapTaskDaemon   15197  15211  /apex/com.android.art/lib64/libart.so                                                                                     _ZN3art6mirror6Object21VisitFieldsReferencesILb0ELNS_17VerifyObjectFlagsE0ELNS_17ReadBarrierOptionE1ENS_2gc9collector17ConcurrentCopying39ComputeLiveBytesAndMarkRefFieldsVisitorILb1EEEEEvjRKT2_
0.55%     GLThread 2003    15197  23778  /vendor/lib64/egl/libGLESv2_adreno.so                                                                                     !!!0000!3388603177444b05d717ab3df975da!781e7d0!
0.54%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _Z22ippiIntegral_8u32s_C1RPKhiPii8IppiSizei
0.51%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _ZN5Eigen9JacobiSVDINS_6MatrixIdLin1ELin1ELi0ELin1ELin1EEELi2EE7computeERKS2_j
0.51%     HeapTaskDaemon   15197  15211  /apex/com.android.art/lib64/libart.so                                                                                     _ZN3art2gc9collector17ConcurrentCopying22AddLiveBytesAndScanRefEPNS_6mirror6ObjectE
0.50%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus.so                           _ZN12LipstickLive10UpdateMaskEv
0.49%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _ZNK5Eigen8internal20generic_product_implINS_13CwiseBinaryOpINS0_17scalar_product_opIddEEKNS_14CwiseNullaryOpINS0_18scalar_constant_opIdEEKNS_6MatrixIdLin1ELi1ELi0ELin1ELi1EEEEEKNS_5BlockIKNS8_IdLin1ELin1ELi0ELin1ELin1EEELin1ELi1ELb0EEEEENS_3MapINS8_IdLi1ELin1ELi1ELi1ELin1EEELi0ENS_6StrideILi0ELi0EEEEENS_10DenseShapeESO_Li5EE3subclINSD_INSD_INSD_ISE_Lin1ELin1ELb0EEELin1ELin1ELb0EEELin1ELi1ELb1EEENS2_IS4_SC_SA_EEEEvRKT_RKT0_
0.49%     HeapTaskDaemon   15197  15211  /apex/com.android.art/lib64/libart.so                                                                                     _ZN3art2gc9collector17ConcurrentCopying7ProcessILb0EEEvPNS_6mirror6ObjectENS_12MemberOffsetE
0.44%     glide-animation  15197  18657  /system/lib64/libhwui.so                                                                                                  _ZN4neon20blit_row_s32a_opaqueEPjPKjij
0.38%     Binder:15197_1   15197  15215  [kernel.kallsyms]                                                                                                         mem_cgroup_commit_charge.cfi
0.37%     glide-animation  15197  18658  /system/lib64/libhwui.so                                                                                                  _ZN4neon20blit_row_s32a_opaqueEPjPKjij
0.37%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _ZN5Eigen8internal29general_matrix_vector_productIldNS0_22const_blas_data_mapperIdlLi1EEELi1ELb0EdNS2_IdlLi0EEELb0ELi0EE3runEllRKS3_RKS4_Pdld
0.36%     HeapTaskDaemon   15197  15211  /apex/com.android.art/lib64/libart.so                                                                                     _ZN3art2gc5space11RegionSpace36PoisonDeadObjectsInUnevacuatedRegionEPNS2_6RegionE
0.34%     RenderThread     15197  15278  /system/lib64/libhwui.so                                                                                                  _ZN7android10uirenderer10RenderNode15prepareTreeImplERNS0_12TreeObserverERNS0_8TreeInfoEb
0.34%     HeapTaskDaemon   15197  15211  /apex/com.android.art/lib64/libart.so                                                                                     _ZN3art2gc9collector17ConcurrentCopying10VisitRootsEPPNS_6mirror19CompressedReferenceINS3_6ObjectEEEmRKNS_8RootInfoE
0.33%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _ZN17SumImageBoxFilter9FilterBoxEPKhiPhiiiiPi
0.33%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _Z32clapackSolveOverDeterminedSystemPfiiS_S_
0.33%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _ZN5Eigen10MatrixBaseINS_6MatrixIdLin1ELin1ELi0ELin1ELin1EEEE15applyOnTheRightIdEEvllRKNS_14JacobiRotationIT_EE
0.32%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus.so                           _ZN12LipstickLive15GetLipstickInfoE22InputLipstickParameterR23OutputLipstickParameter
0.32%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _Z6hyLineP7HyImageRK7HyPointS3_i
0.32%     FrameProcessing  15197  23790  /apex/com.android.runtime/lib64/bionic/libc.so                                                                            _ZN5scudo9AllocatorINS_13AndroidConfigEXadL_Z21scudo_malloc_postinitEEE8allocateEmNS_5Chunk6OriginEmb
0.29%     FrameProcessing  15197  23790  /apex/com.android.runtime/lib64/bionic/libc.so                                                                            strlen_default
0.29%     HeapTaskDaemon   15197  15211  [kernel.kallsyms]                                                                                                         free_hot_cold_page.cfi
0.28%     HeapTaskDaemon   15197  15211  /apex/com.android.art/lib64/libart.so                                                                                     _ZN3art6mirror6Object15VisitReferencesILb1ELNS_17VerifyObjectFlagsE0ELNS_17ReadBarrierOptionE1ENS_2gc9collector17ConcurrentCopying16RefFieldsVisitorILb0EEES9_EEvRKT2_RKT3_
0.28%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus.so                           _ZN15VenusMakeupLive34GetTargetEyeLowerLidLumaEstinationEPK11VN_Point32fR9FrameData
0.28%     glide-animation  15197  18657  /system/lib64/libhwui.so                                                                                                  _ZN4neon12RGBA_to_bgrAEPjPKji
0.28%     RenderThread     15197  15278  /system/lib64/libhwui.so                                                                                                  _ZN7android10uirenderer12skiapipeline15SkiaDisplayList22prepareListAndChildrenERNS0_12TreeObserverERNS0_8TreeInfoEbNSt3__18functionIFvPNS0_10RenderNodeES4_S6_bEEE
0.26%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _ZN14MorphologyTool17LocalMinFilter3x3EPhS0_S0_iii
0.26%     GLThread 2003    15197  23778  /vendor/lib64/egl/libGLESv2_adreno.so                                                                                     !!!0000!60113d899532e0aa54652f11764adc!781e7d0!
0.25%     HeapTaskDaemon   15197  15211  /apex/com.android.art/lib64/libart.so                                                                                     _ZN3art11InternTable5Table10VisitRootsEPNS_11RootVisitorE
0.25%     Binder:15197_5   15197  18029  /apex/com.android.runtime/lib64/bionic/libc.so                                                                            __memcpy
0.24%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus.so                           _ZN12LipstickLive10LinkPointsERNSt6__ndk16vectorIPK11VN_Point32fNS0_9allocatorIS4_EEEERNS1_I12HyPoint2D32fNS5_IS9_EEEE
0.24%     glide-animation  15197  18658  /system/lib64/libhwui.so                                                                                                  _ZN4neon12RGBA_to_bgrAEPjPKji
0.24%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _ZN14MorphologyTool17LocalMinFilter5x5EPhS0_S0_iii
0.23%     mqt_native_modu  15197  15312  /apex/com.android.art/lib64/libart.so                                                                                     artInstanceOfFromCode
0.22%     mqt_native_modu  15197  15312  /apex/com.android.art/javalib/arm64/boot.oat                                                                              java.util.ArrayList.add
0.21%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _ZN14MorphologyTool30FillHoleBinary16x16BottomRightEPhS0_S0_S0_
0.20%     mqt_js           15197  15311  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libhermes.so                          libhermes.so[+7de90]
0.20%     RenderThread     15197  15278  /vendor/lib64/egl/libGLESv2_adreno.so                                                                                     !!!0000!60113d899532e0aa54652f11764adc!781e7d0!
0.20%     FrameProcessing  15197  23790  /apex/com.android.runtime/lib64/bionic/libc.so                                                                            memset
0.20%     HeapTaskDaemon   15197  15211  /apex/com.android.art/lib64/libart.so                                                                                     _ZN3art5Mutex13ExclusiveLockEPNS_6ThreadE
0.20%     FrameProcessing  15197  23790  /apex/com.android.art/lib64/libart.so                                                                                     _ZN3art6mirror6Object10CopyObjectENS_6ObjPtrIS1_EES3_m
0.19%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _Z25GetHistogramRangeInRegion7VN_RectPKhiiiiRiS2_
0.19%     Binder:15197_1   15197  15215  [kernel.kallsyms]                                                                                                         clear_page
0.19%     Binder:15197_1   15197  15215  [kernel.kallsyms]                                                                                                         el0_da
0.19%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus.so                           _ZN12LipstickLive19UpdateFeatheredMaskEv
0.19%     HeapTaskDaemon   15197  15211  [kernel.kallsyms]                                                                                                         release_pages.cfi
0.18%     FrameProcessing  15197  23790  /apex/com.android.runtime/lib64/bionic/libc.so                                                                            memcmp
0.18%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _ZN14MorphologyTool26FillHoleBinary16x16TopLeftEPhS0_S0_S0_
0.18%     FrameProcessing  15197  23790  /apex/com.android.runtime/lib64/bionic/libc.so                                                                            _ZN5scudo9AllocatorINS_13AndroidConfigEXadL_Z21scudo_malloc_postinitEEE27quarantineOrDeallocateChunkEPvPNS_5Chunk14UnpackedHeaderEm
0.17%     glide-animation  15197  18658  [kernel.kallsyms]                                                                                                         clear_page
0.17%     FrameProcessing  15197  23790  /apex/com.android.art/lib64/libart.so                                                                                     _ZN3art6mirrorL22FindFieldByNameAndTypeEPNS_19LengthPrefixedArrayINS_8ArtFieldEEENSt3__117basic_string_viewIcNS5_11char_traitsIcEEEES9_.llvm.16506102783430337910
0.16%     glide-animation  15197  18658  [kernel.kallsyms]                                                                                                         buffered_rmqueue
0.16%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus_tracking.so                  _ZN5Eigen19ColPivHouseholderQRINS_6MatrixIdLin1ELin1ELi0ELin1ELin1EEEE14computeInPlaceEv
0.16%     FrameProcessing  15197  23790  /apex/com.android.art/lib64/libart.so                                                                                     _ZNK3art22IndirectReferenceTable10GetCheckedEPv
0.15%     Binder:15197_1   15197  15215  [kernel.kallsyms]                                                                                                         arch_counter_get_cntvct.cfi
0.15%     HeapTaskDaemon   15197  15211  [kernel.kallsyms]                                                                                                         page_remove_rmap.cfi
0.15%     Binder:15197_1   15197  15215  [kernel.kallsyms]                                                                                                         buffered_rmqueue
0.15%     FrameProcessing  15197  23790  /apex/com.android.runtime/lib64/bionic/libc.so                                                                            _ZN5scudo9AllocatorINS_13AndroidConfigEXadL_Z21scudo_malloc_postinitEEE10deallocateEPvNS_5Chunk6OriginEmm
0.15%     FrameProcessing  15197  23790  /data/app/~~AztZZrWOKDs-hJMDk1VF5w==/com.zamface-9UUsEtwao29iolTaNnnIew==/lib/arm64/libvenus.so                           @plt
0.14%     FrameProcessing  15197  23790  /apex/com.android.art/lib64/libart.so                                                                                     _ZN3art3JNIILb0EE10GetFieldIDEP7_JNIEnvP7_jclassPKcS7_
0.14%     glide-animation  15197  18657  [kernel.kallsyms]                                                                                                         buffered_rmqueue
0.14%     glide-animation  15197  18658  [kernel.kallsyms]                                                                                                         mem_cgroup_commit_charge.cfi
